date;senders;receivers
1970-12-21;Heisenberg, Werner (1901-1976);"Acker, Bernd; Universität Karlsruhe. Institut für Technische Mechanik (-2009)"
1937-03-09;Weigmann, Walter (1902-1945) [vermutlich];Heisenberg, Werner (1901-1976)
1971-07-07;Heisenberg, Werner (1901-1976);Weihe, Hermann J.
1971-06-21;Weihe, Hermann J.;Heisenberg, Werner (1901-1976)
1957-05-22;Heisenberg, Werner (1901-1976);Weimer, Karl
1957-04-24;"Weimer, Karl; Physikalische Studiengesellschaft (Düsseldorf)";Heisenberg, Werner (1901-1976)
o.D.;Wein, Hermann;Heisenberg, Werner (1901-1976)
1967-02-27;Wein, Martin (1925-) [vermutlich];Heisenberg, Werner (1901-1976)
1966-03-15;Heisenberg, Werner (1901-1976);Wein, Martin (1925-)
1966-03-08;Wein, Martin (1925-) [vermutlich];Heisenberg, Werner (1901-1976)
1968-07-12;Heisenberg, Werner (1901-1976);"Weinberg, Steven (1933-2021); Massachusetts Institute of Technology. Department of Physics"
1970-05-12;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Weiner, Richard M. (1930-2020); Rheinische Friedrich-Wilhelms-Universität Bonn. Physikalisches Institut"
1970-04-23;"Weiner, Richard M. (1930-2020); Rheinische Friedrich-Wilhelms-Universität Bonn. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1959-05-11;"Weiner, T.; Rutgers University. Department of Physics";Heisenberg, Werner (1901-1976)
1959-05-02;"Weiner, T.; Rutgers University. Department of Physics";Heisenberg, Werner (1901-1976)
1954-01-03;Weiner, T.;Heisenberg, Werner (1901-1976)
1953-12-15;Heisenberg, Werner (1901-1976);Weiner, T.
1953-11-29;Weiner, T.;Heisenberg, Werner (1901-1976)
1968-09-06;Weinik, Albert;Heisenberg, Werner (1901-1976)
1973-01-15;Heisenberg, Werner (1901-1976);Weiß, Ingeborg
1973-01-10;Weiß, Ingeborg;Heisenberg, Werner (1901-1976)
1970-10-15;"Weiss, Karl Günther (1917-2001); Bayern. Oberlandesgericht (München)";Heisenberg, Werner (1901-1976)
1970-10-21;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Weiss, Karl Günther (1917-2001)
1970-12-21;Heisenberg, Werner (1901-1976);Weiss, Norbert
1970-12-05;Weiss, Norbert;Heisenberg, Werner (1901-1976)
1970-05-16;Weiss, Norbert;Heisenberg, Werner (1901-1976)
1973-12-13;Heisenberg, Werner (1901-1976);Weiss, Paul A. (1898-1989)
1972-08-09;"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)";Heisenberg, Werner (1901-1976)
1972-07-24;Heisenberg, Werner (1901-1976);"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)"
1972-07-18;"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)";Heisenberg, Werner (1901-1976)
1972-02-11;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)"
1970-01-08;Heisenberg, Werner (1901-1976);"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)"
1969-12-09;"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)";Heisenberg, Werner (1901-1976)
1951-11-28;Heisenberg, Werner (1901-1976);Weissberg-Cybulski, Alexander (1901-)
1951-11-15;"Weissberg-Cybulski, Alexander (1901-); Verlag der Frankfurter Hefte";Heisenberg, Werner (1901-1976)
1960-09-01;Weissberger, L. Arnold (1907-1981) [vermutlich];Heisenberg, Werner (1901-1976)
1967-11-13;"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Weitzel, Günther (1915-1984); Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut (-2004)"
1967-11-09;"Weitzel, Günther (1915-1984); Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut (-2004)";"Huber, Wiltrud; Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1967-11-07;"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Weitzel, Günther (1915-1984); Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut (-2004)"
1948-05-29;Welker, Heinrich;Heisenberg, Werner (1901-1976)
1948-05-05;Heisenberg, Werner (1901-1976);Welker, Heinrich
1948-03-23;Heisenberg, Werner (1901-1976);Welker, Heinrich
1948-11-05;Welker, Heinrich;Heisenberg, Werner (1901-1976)
1948-02-24;Ludwig-Maximilians-Universität München. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1947-07-08;"Neufeld, Jacob; Well Surveys Incorporated";Heisenberg, Werner (1901-1976)
1967-03-31;Heisenberg, Werner (1901-1976);"Wellek, Albert (1904-1972); Johannes Gutenberg-Universität Mainz. Psychologisches Institut"
1967-03-06;"Wellek, Albert (1904-1972); Johannes Gutenberg-Universität Mainz. Psychologisches Institut";Heisenberg, Werner (1901-1976)
1965-08-29;Wellhöfer, Elisabeth;Heisenberg, Werner (1901-1976)
